fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
28137,404.8,4.6,4.4,5.7,5.5,4.6,4.6,4.0,3.1,3.2,3.2,5.3,5.5
28139,457.8,5.0,4.5,6.2,5.5,4.6,4.6,4.1,3.2,3.8,3.5,5.5,5.9
28141,424.2,5.2,4.6,6.4,5.3,4.2,4.3,4.3,3.2,3.8,3.4,5.4,6.0
28143,454.7,4.4,4.2,5.5,5.5,4.9,4.8,3.8,2.9,3.0,3.4,5.2,5.4
28145,415.6,5.1,4.5,6.3,5.5,4.6,4.7,4.1,3.2,3.7,3.5,5.3,5.9
28147,403.9,6.5,5.5,6.7,5.8,4.9,4.9,5.6,4.9,4.3,3.7,5.1,5.7
28149,588.5,6.0,4.8,6.2,5.5,4.6,4.1,4.0,3.4,3.1,3.4,4.9,5.9
28151,724.7,5.4,4.7,6.0,5.7,4.6,4.2,4.0,2.7,3.0,3.5,5.2,5.7
28153,810.8,6.4,5.0,6.7,5.1,4.6,4.3,5.8,4.1,4.4,3.1,5.1,5.2
28155,420.9,5.4,4.7,6.3,5.7,3.8,4.2,4.3,3.4,3.5,3.0,4.9,5.8
28157,678.1,6.5,5.2,6.1,5.7,5.0,5.0,4.9,4.7,4.2,3.2,5.5,6.2
28159,607.2,5.9,4.9,6.3,6.0,4.2,3.9,4.8,3.4,3.6,3.5,5.0,5.5
28161,467.1,5.2,4.6,6.3,5.8,4.5,4.8,4.2,3.2,3.4,3.2,5.3,5.9
28163,923.0,5.8,4.8,6.1,5.6,4.6,4.0,4.3,3.2,3.0,3.9,5.0,5.8
29001,567.3,1.3,1.3,2.5,3.5,4.3,4.1,4.4,4.0,4.3,3.1,2.8,1.8
29003,432.7,1.0,1.1,2.4,3.3,4.2,4.4,4.7,4.0,4.6,3.0,2.5,1.3
29005,547.3,0.8,1.0,2.4,3.3,4.3,4.3,4.8,3.7,4.0,2.7,2.1,1.1
29007,692.2,1.6,1.9,3.1,3.8,4.5,4.1,3.7,3.9,3.6,3.1,3.3,2.4
29009,778.2,2.0,2.3,4.2,4.4,4.6,5.0,3.4,3.4,4.8,3.7,4.5,3.2
29011,591.9,1.7,2.0,3.6,4.2,4.4,5.1,3.7,3.6,4.9,3.4,3.8,2.5
29013,836.7,1.6,1.8,3.2,4.2,4.6,5.3,3.8,3.8,4.6,3.4,3.2,2.0
29015,704.1,1.7,2.0,3.3,4.1,4.6,4.3,3.8,3.6,4.3,3.4,3.7,2.4
29017,617.9,3.0,3.0,4.5,4.6,4.3,4.2,3.9,3.5,3.4,3.3,4.6,3.9
29019,685.4,1.6,1.9,3.1,4.0,4.7,4.2,3.8,3.7,3.9,3.2,3.4,2.4
29021,408.0,1.1,1.2,2.5,3.4,4.8,4.6,4.6,3.9,4.7,3.2,2.5,1.5
29023,694.7,3.3,3.3,4.8,4.8,4.6,3.9,3.7,3.5,3.3,3.1,5.0,4.2
29025,426.4,1.2,1.3,2.6,3.7,4.3,4.4,4.2,3.8,4.6,3.2,2.5,1.8
29027,834.6,1.7,2.0,3.2,3.9,4.4,4.1,3.8,3.7,3.7,3.2,3.5,2.5
29029,655.9,1.7,2.1,3.4,4.1,4.3,4.2,3.7,3.5,4.2,3.7,3.9,2.7
29031,578.5,3.1,3.1,4.5,4.6,4.5,4.2,3.7,3.4,3.4,3.3,4.5,3.9
29033,694.6,1.4,1.5,2.7,3.8,4.6,4.2,4.1,3.7,4.4,3.4,2.9,2.0
29035,507.4,2.9,3.1,4.6,4.6,4.6,3.9,3.8,3.6,3.6,3.4,5.0,4.1
29037,696.8,1.4,1.5,3.0,4.0,4.8,5.0,3.9,3.7,4.9,3.5,3.0,2.0
29039,474.5,1.7,2.0,3.6,4.3,4.7,4.8,3.6,3.8,4.7,3.6,3.7,2.6
29041,751.2,1.4,1.5,2.7,3.9,4.7,4.2,4.1,3.8,4.4,3.3,3.1,2.0
29043,562.7,2.1,2.3,3.9,4.3,4.4,4.6,3.5,3.3,4.7,3.7,4.5,3.2
29045,504.7,1.3,1.5,2.7,3.5,4.3,4.0,4.5,3.9,4.2,2.9,2.9,2.0
29047,397.3,1.3,1.3,2.6,3.5,4.8,4.7,4.3,3.9,4.7,3.4,2.6,1.8
29049,419.0,1.2,1.3,2.6,3.6,4.5,4.6,4.4,3.9,4.7,3.3,2.6,1.7
