County,County Code,Day of Year,Day of Year Code,Avg Daily Max Air Temperature (F),Record Count for Daily Max Air Temp (F),Min Temp for Daily Max Air Temp (F),Max Temp for Daily Max Air Temp (F),Avg Daily Min Air Temperature (F),Record Count for Daily Min Air Temp (F),Min Temp for Daily Min Air Temp (F),Max Temp for Daily Min Air Temp (F)
"District of Columbia, DC",11001,26,26,37.92,33,21.40,56.20,25.74,33,6.20,34.40
"District of Columbia, DC",11001,27,27,39.20,33,21.10,59.70,24.48,33,-3.90,37.10
"District of Columbia, DC",11001,28,28,39.52,33,18.50,64.00,25.32,33,-2.10,41.50
"District of Columbia, DC",11001,29,29,39.64,33,27.20,74.70,26.05,33,4.10,42.80
"District of Columbia, DC",11001,30,30,41.00,33,21.50,76.50,28.03,33,13.90,51.90
"District of Columbia, DC",11001,31,31,39.75,33,23.60,59.50,26.70,33,8.70,46.90
"District of Columbia, DC",11001,32,32,41.76,33,24.10,73.80,26.20,33,7.70,46.00
"District of Columbia, DC",11001,33,33,43.05,33,23.50,64.20,27.73,33,8.30,43.80
"District of Columbia, DC",11001,34,34,41.95,33,18.80,63.20,28.08,33,9.10,45.50
"District of Columbia, DC",11001,35,35,40.28,33,13.40,62.90,28.02,33,3.70,45.60
"District of Columbia, DC",11001,36,36,38.25,33,16.00,67.30,25.61,33,-4.00,41.00
"District of Columbia, DC",11001,37,37,40.46,33,20.70,71.90,25.68,33,1.50,50.50
"District of Columbia, DC",11001,38,38,40.14,33,25.70,60.10,26.38,33,6.30,45.80
"District of Columbia, DC",11001,39,39,39.88,33,22.10,64.00,26.39,33,8.60,40.20
"District of Columbia, DC",11001,40,40,41.27,33,19.80,68.10,25.25,33,7.40,39.50
"District of Columbia, DC",11001,41,41,41.72,33,20.20,60.80,25.84,33,3.00,35.30
"District of Columbia, DC",11001,42,42,42.63,33,16.30,70.00,27.17,33,8.40,45.70
"District of Columbia, DC",11001,43,43,39.54,33,27.00,68.20,26.15,33,8.80,42.50
"District of Columbia, DC",11001,44,44,38.43,33,19.40,62.00,25.01,33,3.70,36.90
"District of Columbia, DC",11001,45,45,42.92,33,19.90,63.60,27.24,33,1.70,50.20
"District of Columbia, DC",11001,46,46,42.95,33,22.70,61.60,28.37,33,14.20,45.50
"District of Columbia, DC",11001,47,47,43.90,33,23.50,72.00,29.46,33,11.60,53.60
"District of Columbia, DC",11001,48,48,42.62,33,16.30,67.50,28.14,33,0.60,44.40
"District of Columbia, DC",11001,49,49,43.28,33,18.20,70.30,29.27,33,-0.20,46.80
"District of Columbia, DC",11001,50,50,46.37,33,23.50,65.00,29.07,33,13.00,46.40
"District of Columbia, DC",11001,51,51,47.12,33,31.00,66.40,30.82,33,4.90,44.90
"District of Columbia, DC",11001,52,52,49.04,33,33.00,66.30,32.28,33,12.10,47.30
"District of Columbia, DC",11001,53,53,47.92,33,28.20,66.80,32.88,33,21.90,45.60
"District of Columbia, DC",11001,54,54,47.03,33,33.10,72.00,32.17,33,20.40,50.50
"District of Columbia, DC",11001,55,55,45.51,33,29.30,74.40,31.06,33,21.00,49.10
"District of Columbia, DC",11001,56,56,44.37,33,28.30,74.20,29.66,33,16.70,43.70
"District of Columbia, DC",11001,57,57,43.74,33,27.30,65.30,28.87,33,14.10,43.80
"District of Columbia, DC",11001,58,58,45.39,33,28.20,71.00,29.62,33,15.20,46.80
"District of Columbia, DC",11001,59,59,46.30,33,31.00,70.30,31.55,33,14.70,45.00
"District of Columbia, DC",11001,60,60,46.76,33,28.00,66.50,30.16,33,9.90,43.60
"District of Columbia, DC",11001,61,61,48.58,33,19.50,70.70,31.73,33,7.90,51.70
"District of Columbia, DC",11001,62,62,47.01,33,17.00,69.50,31.86,33,12.80,49.60
"District of Columbia, DC",11001,63,63,46.38,33,30.50,74.80,30.12,33,4.80,43.00
"District of Columbia, DC",11001,64,64,49.48,33,38.60,72.40,32.84,33,14.50,50.30
"District of Columbia, DC",11001,65,65,50.20,33,30.30,76.00,32.45,33,18.90,47.80
"District of Columbia, DC",11001,66,66,51.44,33,27.80,74.70,33.12,33,16.00,49.00
"District of Columbia, DC",11001,67,67,51.97,33,29.10,75.00,32.59,33,12.60,51.30
"District of Columbia, DC",11001,68,68,51.53,33,26.50,79.80,33.81,33,16.20,51.90
"District of Columbia, DC",11001,69,69,51.00,33,24.10,80.30,33.17,33,15.10,50.50
"District of Columbia, DC",11001,70,70,50.52,33,30.10,73.10,32.74,33,15.50,49.50
"District of Columbia, DC",11001,71,71,51.12,33,31.20,83.60,32.43,33,20.20,54.00
"District of Columbia, DC",11001,72,72,52.49,33,34.30,83.00,34.25,33,21.30,58.30
"District of Columbia, DC",11001,73,73,51.67,33,22.90,82.80,35.10,33,11.80,56.70
"District of Columbia, DC",11001,74,74,52.46,33,28.90,80.40,35.14,33,9.60,53.80
"District of Columbia, DC",11001,75,75,51.95,33,34.50,76.30,35.40,33,23.70,59.30
"District of Columbia, DC",11001,76,76,53.15,33,33.40,70.60,35.05,33,23.70,58.00
"District of Columbia, DC",11001,77,77,52.50,33,29.50,75.50,34.47,33,15.50,50.80
"District of Columbia, DC",11001,78,78,51.75,33,33.10,72.40,34.84,33,12.00,48.50
"District of Columbia, DC",11001,79,79,52.18,33,38.40,70.20,35.49,33,23.50,45.00
"District of Columbia, DC",11001,80,80,52.88,33,33.20,73.70,35.78,33,21.10,48.00
"District of Columbia, DC",11001,81,81,51.41,33,33.80,71.00,35.83,33,22.10,52.50
"District of Columbia, DC",11001,82,82,51.15,33,36.70,75.80,35.61,33,24.10,53.50
"District of Columbia, DC",11001,83,83,52.51,33,38.30,75.50,36.22,33,24.30,50.80
"District of Columbia, DC",11001,84,84,54.33,33,43.30,74.90,35.92,33,27.40,48.50
"District of Columbia, DC",11001,85,85,56.55,33,37.70,74.10,37.31,33,26.20,49.10
"District of Columbia, DC",11001,86,86,57.83,33,35.30,80.30,39.68,33,24.80,54.00
"District of Columbia, DC",11001,87,87,58.27,33,42.30,81.70,40.52,33,21.80,55.10
"District of Columbia, DC",11001,88,88,59.96,33,33.50,80.30,41.79,33,25.80,59.40
"District of Columbia, DC",11001,89,89,59.28,33,36.20,83.30,41.12,33,27.90,59.30
"District of Columbia, DC",11001,90,90,58.39,33,42.70,82.90,40.92,33,29.50,57.90
"District of Columbia, DC",11001,91,91,58.35,33,44.00,75.40,42.21,33,29.20,61.40
"District of Columbia, DC",11001,92,92,61.15,33,46.50,76.70,42.49,33,30.70,54.70
"District of Columbia, DC",11001,93,93,61.95,33,42.20,79.80,41.48,33,28.30,51.30
"District of Columbia, DC",11001,94,94,60.92,33,43.30,79.70,41.56,33,27.10,52.70
"District of Columbia, DC",11001,95,95,59.72,33,41.00,79.10,40.96,33,28.70,59.20
"District of Columbia, DC",11001,96,96,57.77,33,42.70,85.20,40.27,33,24.80,59.30
"District of Columbia, DC",11001,97,97,59.49,33,36.20,85.30,39.11,33,21.80,59.40
"District of Columbia, DC",11001,98,98,60.09,33,37.40,84.10,40.54,33,23.20,57.70
"District of Columbia, DC",11001,99,99,58.74,33,38.40,83.80,41.95,33,26.20,62.60
"District of Columbia, DC",11001,100,100,58.44,33,42.90,72.80,40.69,33,23.80,54.20
"District of Columbia, DC",11001,101,101,60.09,33,44.60,87.50,40.66,33,30.50,53.60
"District of Columbia, DC",11001,102,102,63.10,33,48.30,79.70,41.97,33,31.60,55.00
"District of Columbia, DC",11001,103,103,61.20,33,47.10,78.70,42.32,33,32.10,56.70
"District of Columbia, DC",11001,104,104,60.55,33,47.50,78.10,42.65,33,31.70,60.70
"District of Columbia, DC",11001,105,105,62.56,33,49.10,83.10,44.48,33,31.80,64.00
"District of Columbia, DC",11001,106,106,63.48,33,46.40,87.90,44.42,33,31.90,61.90
"District of Columbia, DC",11001,107,107,62.96,33,46.40,90.80,43.67,33,32.60,63.90
"District of Columbia, DC",11001,108,108,63.69,33,45.80,86.20,43.17,33,28.90,67.70
"District of Columbia, DC",11001,109,109,65.48,33,43.80,88.40,44.72,33,31.40,65.90
"District of Columbia, DC",11001,110,110,66.57,33,44.70,84.60,45.71,33,32.50,62.00
"District of Columbia, DC",11001,111,111,65.65,33,51.30,86.20,46.10,33,28.60,57.80
"District of Columbia, DC",11001,112,112,65.89,33,50.70,87.90,46.00,33,31.50,63.10
"District of Columbia, DC",11001,113,113,66.06,33,41.50,85.00,45.28,33,28.80,60.20
"District of Columbia, DC",11001,114,114,67.10,33,49.10,83.70,45.98,33,31.30,60.80
"District of Columbia, DC",11001,115,115,67.64,33,48.30,86.70,46.74,33,34.60,64.90
"District of Columbia, DC",11001,116,116,67.46,33,52.30,87.10,47.61,33,37.40,64.80
"District of Columbia, DC",11001,117,117,69.43,33,51.40,88.10,48.62,33,38.70,65.30
"District of Columbia, DC",11001,118,118,67.01,33,54.60,85.80,47.55,33,36.50,60.50
"District of Columbia, DC",11001,119,119,66.23,33,54.60,82.00,45.88,33,35.00,59.20
"District of Columbia, DC",11001,120,120,68.63,33,55.20,82.20,47.28,33,38.10,63.60
"District of Columbia, DC",11001,121,121,70.03,33,57.40,86.30,48.72,33,36.20,59.50
"District of Columbia, DC",11001,122,122,68.65,33,49.20,88.40,49.46,33,37.60,67.20
"District of Columbia, DC",11001,123,123,68.29,33,53.20,84.20,49.38,33,33.90,67.80
"District of Columbia, DC",11001,124,124,66.25,33,52.50,85.60,47.90,33,30.30,60.20
"District of Columbia, DC",11001,125,125,68.09,33,50.90,81.60,48.22,33,37.70,59.30
"District of Columbia, DC",11001,126,126,69.99,33,56.40,84.50,48.66,33,40.80,60.40
"District of Columbia, DC",11001,127,127,69.59,33,51.90,85.40,49.13,33,36.90,63.70
"District of Columbia, DC",11001,128,128,69.85,33,51.40,88.00,49.63,33,37.10,64.30
"District of Columbia, DC",11001,129,129,70.05,33,54.40,87.90,50.68,33,37.60,64.70
"District of Columbia, DC",11001,130,130,70.59,33,54.40,88.00,49.84,33,34.50,64.00
"District of Columbia, DC",11001,131,131,71.84,33,54.70,85.10,50.75,33,37.40,64.50
"District of Columbia, DC",11001,132,132,72.56,33,55.10,86.10,51.56,33,41.80,64.20
"District of Columbia, DC",11001,133,133,70.09,33,52.60,88.80,51.82,33,38.10,68.20
"District of Columbia, DC",11001,134,134,71.58,33,53.50,87.20,50.62,33,32.80,66.90
"District of Columbia, DC",11001,135,135,73.09,33,58.00,84.70,51.88,33,40.00,67.20
"District of Columbia, DC",11001,136,136,70.87,33,55.10,85.30,51.00,33,37.30,66.10
"District of Columbia, DC",11001,137,137,69.87,33,53.40,85.20,51.70,33,37.60,66.40
"District of Columbia, DC",11001,138,138,69.53,33,53.70,85.70,52.85,33,40.60,66.60
"District of Columbia, DC",11001,139,139,70.37,33,50.80,86.00,52.64,33,41.10,66.70
"District of Columbia, DC",11001,140,140,71.74,33,56.00,89.30,52.48,33,41.60,65.50
"District of Columbia, DC",11001,141,141,72.35,33,56.10,90.10,52.60,33,39.40,65.10
"District of Columbia, DC",11001,142,142,72.92,33,58.40,84.30,53.59,33,35.60,67.80
"District of Columbia, DC",11001,143,143,73.85,33,57.60,86.40,54.90,33,38.80,69.00
"District of Columbia, DC",11001,144,144,75.92,33,58.10,87.70,55.95,33,42.10,71.50
"District of Columbia, DC",11001,145,145,76.78,33,57.50,88.40,57.60,33,45.60,69.50
"District of Columbia, DC",11001,146,146,75.74,33,57.30,90.60,56.98,33,47.60,72.50
"District of Columbia, DC",11001,147,147,73.27,33,54.10,87.50,55.96,33,41.60,70.90
"District of Columbia, DC",11001,148,148,74.15,33,54.60,87.90,56.81,33,43.70,73.70
"District of Columbia, DC",11001,149,149,76.24,33,61.40,90.80,56.37,33,43.50,71.50
"District of Columbia, DC",11001,150,150,77.47,33,56.60,92.70,57.96,33,43.60,71.20
"District of Columbia, DC",11001,151,151,78.81,33,62.20,92.80,58.35,33,41.40,72.70
"District of Columbia, DC",11001,152,152,78.57,33,62.30,93.30,59.82,33,43.70,71.40
"District of Columbia, DC",11001,153,153,78.42,33,65.40,88.10,58.25,33,44.10,71.20
"District of Columbia, DC",11001,154,154,74.84,33,55.30,89.90,57.94,33,40.20,70.40
"District of Columbia, DC",11001,155,155,75.89,33,58.30,88.00,57.50,33,45.60,70.60
"District of Columbia, DC",11001,156,156,76.38,33,64.50,92.20,58.15,33,45.40,73.00
"District of Columbia, DC",11001,157,157,76.50,33,61.30,88.80,58.85,33,45.80,70.00
"District of Columbia, DC",11001,158,158,77.74,33,59.50,92.20,60.08,33,48.40,71.60
"District of Columbia, DC",11001,159,159,81.82,33,67.30,93.30,61.88,33,46.70,70.90
"District of Columbia, DC",11001,160,160,82.11,33,69.20,94.90,62.80,33,49.20,73.70
"District of Columbia, DC",11001,161,161,79.95,33,62.60,93.90,60.82,33,48.30,73.50
"District of Columbia, DC",11001,162,162,80.34,33,63.90,93.80,61.02,33,46.60,73.90
"District of Columbia, DC",11001,163,163,80.01,33,64.50,91.80,61.47,33,47.10,73.80
"District of Columbia, DC",11001,164,164,79.34,33,64.20,89.60,62.38,33,48.60,73.20
"District of Columbia, DC",11001,165,165,80.70,33,70.10,91.10,61.99,33,46.00,71.70
"District of Columbia, DC",11001,166,166,81.55,33,71.60,91.60,62.66,33,50.90,75.00
"District of Columbia, DC",11001,167,167,82.90,33,73.50,94.00,63.77,33,51.10,75.30
"District of Columbia, DC",11001,168,168,79.63,33,63.80,88.70,62.97,33,52.10,75.00
"District of Columbia, DC",11001,169,169,82.00,33,70.20,91.30,62.72,33,50.30,71.90
"District of Columbia, DC",11001,170,170,82.38,33,70.90,91.00,64.18,33,51.00,74.50
"District of Columbia, DC",11001,171,171,81.21,33,63.30,91.00,64.05,33,54.30,73.70
"District of Columbia, DC",11001,172,172,81.67,33,68.50,90.50,63.08,33,52.00,73.20
"District of Columbia, DC",11001,173,173,83.24,33,69.00,93.10,63.91,33,49.80,74.00
"District of Columbia, DC",11001,174,174,82.19,33,65.80,94.80,63.82,33,48.40,74.50
"District of Columbia, DC",11001,175,175,82.97,33,70.90,95.30,62.83,33,50.30,72.50
"District of Columbia, DC",11001,176,176,82.80,33,67.70,96.60,62.95,33,53.50,76.20
"District of Columbia, DC",11001,177,177,83.55,33,69.60,95.40,64.06,33,52.60,74.50
"District of Columbia, DC",11001,178,178,84.05,33,72.40,96.80,65.15,33,52.90,75.20
"District of Columbia, DC",11001,179,179,84.01,33,71.90,96.10,65.52,33,53.00,74.50
"District of Columbia, DC",11001,180,180,83.79,33,74.90,92.30,65.77,33,53.20,73.60
"District of Columbia, DC",11001,181,181,83.07,33,71.70,95.30,65.89,33,56.50,76.60
"District of Columbia, DC",11001,182,182,81.22,33,67.40,93.50,64.96,33,51.20,72.90
"District of Columbia, DC",11001,183,183,82.42,33,70.20,99.10,64.08,33,48.30,73.80
"District of Columbia, DC",11001,184,184,84.09,33,73.40,100.90,65.35,33,50.10,74.80
"District of Columbia, DC",11001,185,185,84.78,33,65.90,101.40,66.62,33,56.40,76.00
"District of Columbia, DC",11001,186,186,84.74,33,69.90,100.10,67.41,33,51.80,76.90
"District of Columbia, DC",11001,187,187,85.54,33,71.70,101.10,67.30,33,55.40,76.20
"District of Columbia, DC",11001,188,188,86.19,33,74.60,99.20,66.59,33,56.30,75.80
"District of Columbia, DC",11001,189,189,86.38,33,71.50,97.80,66.48,33,54.30,75.30
"District of Columbia, DC",11001,190,190,87.04,33,71.00,97.30,67.11,33,54.40,78.10
"District of Columbia, DC",11001,191,191,86.52,33,70.80,96.00,67.70,33,57.70,76.40
"District of Columbia, DC",11001,192,192,85.91,33,77.00,95.40,67.46,33,58.50,77.60
"District of Columbia, DC",11001,193,193,87.10,33,73.30,97.80,67.99,33,57.20,76.40
"District of Columbia, DC",11001,194,194,85.59,33,72.50,94.60,68.87,33,59.20,75.50
"District of Columbia, DC",11001,195,195,85.43,33,73.00,95.20,67.73,33,55.50,75.50
"District of Columbia, DC",11001,196,196,87.14,33,76.50,98.40,68.15,33,57.10,75.60
"District of Columbia, DC",11001,197,197,87.38,33,76.90,96.00,69.41,33,61.20,77.50
"District of Columbia, DC",11001,198,198,88.45,33,73.20,101.80,69.82,33,60.00,75.80
"District of Columbia, DC",11001,199,199,88.89,33,77.70,97.90,70.08,33,61.00,76.90
"District of Columbia, DC",11001,200,200,88.33,33,78.60,97.50,70.91,33,61.60,76.90
"District of Columbia, DC",11001,201,201,87.93,33,77.80,97.40,70.02,33,58.90,77.20
"District of Columbia, DC",11001,202,202,88.29,33,74.80,101.50,70.75,33,58.00,77.40
"District of Columbia, DC",11001,203,203,88.03,33,77.40,105.20,69.92,33,54.20,79.10
"District of Columbia, DC",11001,204,204,86.00,33,70.50,101.00,69.82,33,56.90,80.50
"District of Columbia, DC",11001,205,205,85.82,33,73.50,102.20,69.48,33,58.00,77.30
"District of Columbia, DC",11001,206,206,85.95,33,69.20,100.40,69.83,33,62.10,76.50
"District of Columbia, DC",11001,207,207,86.06,33,71.50,96.20,69.82,33,61.10,77.10
"District of Columbia, DC",11001,208,208,85.73,33,69.00,95.70,69.29,33,56.80,76.20
"District of Columbia, DC",11001,209,209,86.73,33,75.90,99.30,68.78,33,57.60,77.50
"District of Columbia, DC",11001,210,210,84.95,33,68.80,103.30,68.78,33,56.80,76.60
"District of Columbia, DC",11001,211,211,85.28,33,74.40,97.50,68.15,33,55.20,75.40
"District of Columbia, DC",11001,212,212,86.06,33,73.10,100.10,68.97,33,57.50,77.10
"District of Columbia, DC",11001,213,213,86.68,33,76.40,96.90,69.09,33,59.60,77.20
"District of Columbia, DC",11001,214,214,87.35,33,77.20,100.50,69.02,33,58.30,78.20
"District of Columbia, DC",11001,215,215,88.20,33,80.80,98.70,69.80,33,59.00,77.10
"District of Columbia, DC",11001,216,216,89.09,33,81.70,97.00,70.71,33,61.80,76.70
"District of Columbia, DC",11001,217,217,87.24,33,79.40,96.30,69.53,33,59.20,75.90
"District of Columbia, DC",11001,218,218,84.38,33,71.00,93.80,67.98,33,54.50,77.70
"District of Columbia, DC",11001,219,219,85.21,33,70.80,99.00,67.20,33,55.30,75.90
"District of Columbia, DC",11001,220,220,86.60,33,71.90,101.60,68.07,33,55.80,76.90
"District of Columbia, DC",11001,221,221,86.45,33,71.20,98.00,68.31,33,59.50,79.60
"District of Columbia, DC",11001,222,222,86.88,33,66.50,98.50,68.68,33,56.80,75.20
"District of Columbia, DC",11001,223,223,86.35,33,70.80,98.40,68.28,33,61.60,77.30
"District of Columbia, DC",11001,224,224,85.19,33,66.20,97.00,68.11,33,57.50,75.30
"District of Columbia, DC",11001,225,225,85.39,33,68.20,101.20,68.25,33,56.40,78.00
"District of Columbia, DC",11001,226,226,85.44,33,69.30,99.00,68.89,33,59.00,78.60
"District of Columbia, DC",11001,227,227,85.35,33,69.30,97.20,68.43,33,58.00,75.40
"District of Columbia, DC",11001,228,228,86.18,33,68.60,99.20,68.29,33,53.10,76.40
"District of Columbia, DC",11001,229,229,86.27,33,71.60,96.50,68.52,33,57.10,78.40
"District of Columbia, DC",11001,230,230,84.56,33,65.80,100.70,67.24,33,54.00,75.20
"District of Columbia, DC",11001,231,231,83.57,33,72.60,96.90,67.24,33,58.90,75.90
"District of Columbia, DC",11001,232,232,84.15,33,71.60,97.50,67.28,33,56.80,76.10
"District of Columbia, DC",11001,233,233,83.00,33,70.50,94.50,65.95,33,54.40,75.20
"District of Columbia, DC",11001,234,234,82.46,33,71.50,99.10,64.23,33,55.30,73.20
"District of Columbia, DC",11001,235,235,82.71,33,74.20,93.20,63.96,33,54.90,73.40
"District of Columbia, DC",11001,236,236,82.97,33,70.30,95.60,64.65,33,55.90,73.20
"District of Columbia, DC",11001,237,237,83.98,33,76.30,98.30,65.42,33,52.70,74.80
"District of Columbia, DC",11001,238,238,85.10,33,71.60,92.40,66.54,33,56.00,76.60
"District of Columbia, DC",11001,239,239,85.78,33,71.40,95.20,67.66,33,59.20,75.70
"District of Columbia, DC",11001,240,240,85.15,33,68.60,93.70,67.84,33,49.80,75.80
"District of Columbia, DC",11001,241,241,84.60,33,69.10,96.60,66.98,33,45.60,75.50
"District of Columbia, DC",11001,242,242,83.53,33,69.80,99.10,65.68,33,51.00,72.60
"District of Columbia, DC",11001,243,243,83.36,33,71.80,95.90,65.15,33,53.50,73.80
"District of Columbia, DC",11001,244,244,82.39,33,64.50,96.10,64.13,33,53.50,72.80
"District of Columbia, DC",11001,245,245,82.54,33,63.40,96.30,63.27,33,50.00,76.20
"District of Columbia, DC",11001,246,246,83.26,33,69.10,97.00,64.06,33,53.50,75.50
"District of Columbia, DC",11001,247,247,82.17,33,68.00,92.30,63.49,33,49.50,73.10
"District of Columbia, DC",11001,248,248,81.04,33,68.20,93.80,63.81,33,46.30,73.10
"District of Columbia, DC",11001,249,249,82.12,33,68.20,94.40,63.49,33,51.50,72.20
"District of Columbia, DC",11001,250,250,80.97,33,69.10,95.30,63.93,33,53.00,72.10
"District of Columbia, DC",11001,251,251,80.45,33,70.40,93.90,62.81,33,51.40,77.50
"District of Columbia, DC",11001,252,252,81.08,33,69.60,92.70,61.72,33,48.20,76.10
"District of Columbia, DC",11001,253,253,81.74,33,68.20,94.10,62.51,33,51.30,72.80
"District of Columbia, DC",11001,254,254,80.46,33,64.10,96.80,61.87,33,48.90,74.30
"District of Columbia, DC",11001,255,255,79.18,33,67.80,91.20,60.91,33,50.60,73.20
"District of Columbia, DC",11001,256,256,80.55,33,63.50,89.60,61.22,33,45.80,71.40
"District of Columbia, DC",11001,257,257,81.87,33,66.40,91.50,62.02,33,42.20,71.20
"District of Columbia, DC",11001,258,258,80.27,33,68.40,93.90,61.71,33,47.60,72.10
"District of Columbia, DC",11001,259,259,77.04,33,64.70,98.60,58.92,33,45.50,71.10
"District of Columbia, DC",11001,260,260,76.50,33,61.10,96.00,59.15,33,41.60,74.00
"District of Columbia, DC",11001,261,261,77.15,33,66.10,91.30,58.59,33,44.20,76.10
"District of Columbia, DC",11001,262,262,77.02,33,64.70,90.90,57.74,33,47.80,69.40
"District of Columbia, DC",11001,263,263,76.81,33,65.00,89.20,58.64,33,46.50,68.50
"District of Columbia, DC",11001,264,264,77.33,33,64.70,88.00,58.58,33,47.50,71.60
"District of Columbia, DC",11001,265,265,76.94,33,61.80,95.10,59.02,33,44.60,71.00
"District of Columbia, DC",11001,266,266,76.56,33,61.90,93.10,57.14,33,40.80,70.40
"District of Columbia, DC",11001,267,267,75.13,33,58.40,97.20,56.15,33,40.00,69.40
"District of Columbia, DC",11001,268,268,74.24,33,58.60,92.00,55.75,33,43.50,69.00
"District of Columbia, DC",11001,269,269,74.45,33,59.60,94.20,57.39,33,46.50,71.70
"District of Columbia, DC",11001,270,270,75.41,33,55.20,90.40,57.45,33,45.80,68.40
"District of Columbia, DC",11001,271,271,73.15,33,59.10,84.20,55.72,33,42.70,68.40
"District of Columbia, DC",11001,272,272,72.05,33,51.70,88.10,54.78,33,42.20,67.20
"District of Columbia, DC",11001,273,273,71.13,33,55.60,94.70,53.71,33,38.30,66.20
"District of Columbia, DC",11001,274,274,72.15,33,55.30,91.60,52.58,33,41.90,71.00
"District of Columbia, DC",11001,275,275,71.75,33,49.90,88.80,52.57,33,37.90,66.20
"District of Columbia, DC",11001,276,276,72.39,33,55.70,89.80,53.54,33,34.70,66.60
"District of Columbia, DC",11001,277,277,71.98,33,54.20,90.10,53.55,33,38.50,73.80
"District of Columbia, DC",11001,278,278,71.50,33,50.80,87.70,53.63,33,36.50,66.70
"District of Columbia, DC",11001,279,279,69.68,33,56.70,88.80,51.68,33,41.90,67.70
"District of Columbia, DC",11001,280,280,68.41,33,53.90,91.40,50.15,33,38.60,68.70
"District of Columbia, DC",11001,281,281,68.70,33,52.40,91.90,48.90,33,36.60,68.50
"District of Columbia, DC",11001,282,282,71.13,33,53.00,93.60,50.59,33,33.90,68.70
"District of Columbia, DC",11001,283,283,69.95,33,48.50,84.30,51.23,33,36.40,65.40
"District of Columbia, DC",11001,284,284,67.91,33,53.10,83.70,51.49,33,33.20,67.60
"District of Columbia, DC",11001,285,285,67.64,33,52.20,80.70,50.72,33,38.40,66.90
"District of Columbia, DC",11001,286,286,67.06,33,52.00,78.90,50.01,33,36.00,65.80
"District of Columbia, DC",11001,287,287,66.12,33,50.20,80.90,48.50,33,31.40,65.70
"District of Columbia, DC",11001,288,288,65.96,33,48.60,82.90,46.56,33,34.50,64.30
"District of Columbia, DC",11001,289,289,66.53,33,47.60,79.60,46.77,33,36.60,64.90
"District of Columbia, DC",11001,290,290,65.94,33,45.50,82.80,48.42,33,36.20,63.30
"District of Columbia, DC",11001,291,291,67.03,33,50.80,85.10,47.60,33,34.20,59.70
"District of Columbia, DC",11001,292,292,65.72,33,53.10,82.10,49.18,33,34.40,68.70
"District of Columbia, DC",11001,293,293,64.76,33,48.60,81.90,47.14,33,35.80,60.20
"District of Columbia, DC",11001,294,294,63.36,33,48.70,81.00,44.78,33,33.70,64.50
"District of Columbia, DC",11001,295,295,63.69,33,50.80,82.50,45.87,33,35.20,64.60
"District of Columbia, DC",11001,296,296,63.34,33,47.90,84.10,46.46,33,33.50,63.50
