County,County Code,Day of Year,Day of Year Code,Avg Daily Max Air Temperature (F),Record Count for Daily Max Air Temp (F),Min Temp for Daily Max Air Temp (F),Max Temp for Daily Max Air Temp (F),Avg Daily Min Air Temperature (F),Record Count for Daily Min Air Temp (F),Min Temp for Daily Min Air Temp (F),Max Temp for Daily Min Air Temp (F)
"District of Columbia, DC",11001,1,1,43.97,33,29.30,65.10,30.83,33,15.90,48.80
"District of Columbia, DC",11001,2,2,42.41,33,26.40,63.70,29.88,33,15.90,42.30
"District of Columbia, DC",11001,3,3,42.24,33,24.30,66.10,30.15,33,15.00,47.90
"District of Columbia, DC",11001,4,4,42.14,33,24.00,65.30,29.34,33,6.30,53.90
"District of Columbia, DC",11001,5,5,41.37,33,21.30,65.10,28.83,33,6.20,48.20
"District of Columbia, DC",11001,6,6,40.82,33,17.50,69.80,28.65,33,9.60,54.60
"District of Columbia, DC",11001,7,7,40.80,33,20.20,67.20,29.50,33,8.10,54.40
"District of Columbia, DC",11001,8,8,39.73,33,20.10,67.80,27.47,33,5.10,58.30
"District of Columbia, DC",11001,9,9,39.22,33,24.70,62.70,26.22,33,2.00,44.30
"District of Columbia, DC",11001,10,10,38.01,33,16.30,53.80,26.03,33,1.90,41.00
"District of Columbia, DC",11001,11,11,38.51,33,15.40,60.00,25.89,33,-4.10,42.80
"District of Columbia, DC",11001,12,12,39.70,33,15.10,61.30,27.02,33,5.80,44.70
"District of Columbia, DC",11001,13,13,42.94,33,20.40,65.60,27.88,33,6.60,48.00
"District of Columbia, DC",11001,14,14,41.04,33,22.20,64.90,27.52,33,15.20,55.20
"District of Columbia, DC",11001,15,15,38.82,33,18.90,71.00,27.05,33,6.40,54.80
"District of Columbia, DC",11001,16,16,39.66,33,15.80,61.80,25.12,33,5.40,40.20
"District of Columbia, DC",11001,17,17,37.41,33,12.50,62.90,25.12,33,-6.10,40.70
"District of Columbia, DC",11001,18,18,38.76,33,14.40,65.90,26.77,33,-0.60,48.70
"District of Columbia, DC",11001,19,19,37.25,33,5.80,55.20,25.50,33,-5.90,46.00
"District of Columbia, DC",11001,20,20,37.79,33,14.10,60.20,24.53,33,-4.50,41.30
"District of Columbia, DC",11001,21,21,36.26,33,9.70,59.00,23.70,33,-7.90,41.10
"District of Columbia, DC",11001,22,22,37.67,33,22.20,58.40,24.56,33,0.80,40.80
"District of Columbia, DC",11001,23,23,39.67,33,19.20,61.40,26.25,33,5.30,44.40
"District of Columbia, DC",11001,24,24,41.75,33,22.80,61.40,26.75,33,0.10,41.30
"District of Columbia, DC",11001,25,25,39.25,33,20.10,60.40,27.55,33,7.80,46.80
